,team,team_rating,player,hltv_rating,kills_rating,avg_opponent_rating
0,Astralis,2284.177858,Xyp9x,2285.405117,1976.518983,1673.614859
1,Astralis,2284.177858,dupreeh,2191.692388,2003.678546,1673.614859
2,Astralis,2284.177858,gla1ve,2134.15065,1955.64684,1673.614859
3,Astralis,2284.177858,device,2546.493657,2158.260037,1673.614859
4,Astralis,2284.177858,Magisk,2263.14748,2027.503076,1673.614859
5,Liquid,1780.585396,nitr0,1669.308241,1614.695026,1517.763078
6,Liquid,1780.585396,NAF,1929.590905,1779.431271,1520.669001
7,Liquid,1780.585396,EliGE,1764.797321,1747.630044,1520.669001
8,Liquid,1780.585396,Stewie2K,1495.662828,1528.516698,1419.220813
9,Liquid,1780.585396,Twistzz,2043.567686,1778.275146,1512.8638
10,Natus%20Vincere,1852.826183,Edward,1583.899505,1592.1728,1594.88127
11,Natus%20Vincere,1852.826183,Zeus,1381.58546,1468.500959,1594.88127
12,Natus%20Vincere,1852.826183,flamie,1688.76755,1659.421633,1537.913129
13,Natus%20Vincere,1852.826183,s1mple,2531.455457,2151.004354,1591.153448
14,Natus%20Vincere,1852.826183,electronic,2078.422942,1922.949055,1575.297168
15,MIBR,1576.609881,FalleN,1753.231735,1551.326381,1414.11585
16,MIBR,1576.609881,fer,1545.614494,1574.942684,1405.038992
17,MIBR,1576.609881,coldzera,1905.265098,1667.184813,1414.11585
18,MIBR,1576.609881,TACO,1541.213674,1514.019374,1552.122533
19,MIBR,1576.609881,felps,1137.724404,1097.197632,929.1580545
20,Renegades,1338.902191,jks,1443.832621,1352.210903,1226.09811
21,Renegades,1338.902191,AZR,1227.280246,1241.53617,1226.09811
22,Renegades,1338.902191,jkaem,1316.549809,1355.217613,1226.09811
23,Renegades,1338.902191,Gratisfaction,1399.851273,1172.47177,1016.558872
24,Renegades,1338.902191,Liazz,1306.997009,1170.98303,1005.082836
25,FaZe,1783.885191,AdreN,1327.366759,1399.254035,1389.025508
26,FaZe,1783.885191,olofmeister,1686.704872,1651.250708,1602.05393
27,FaZe,1783.885191,GuardiaN,2010.099941,1761.266846,1589.477467
28,FaZe,1783.885191,NiKo,2176.46266,1983.364591,1615.684188
29,FaZe,1783.885191,rain,1718.791724,1742.224774,1612.313592
30,ENCE,1304.175832,allu,1501.225733,1276.786456,1083.782544
31,ENCE,1304.175832,Aerial,1321.048229,1269.473415,1080.575397
32,ENCE,1304.175832,xseveN,1153.011789,1131.552491,1077.353975
33,ENCE,1304.175832,Aleksib,1135.859575,1151.584675,1073.702132
