date,rank,team,score
2019-02-11,1,Astralis,933
2019-02-11,2,Liquid,576
2019-02-11,3,Natus Vincere,384
2019-02-11,4,FaZe,327
2019-02-11,5,NRG,265
2019-02-11,6,fnatic,237
2019-02-11,7,North,231
2019-02-11,8,Cloud9,208
2019-02-11,9,MIBR,187
2019-02-11,10,mousesports,183
2019-02-11,11,ENCE,182
2019-02-11,12,BIG,178
2019-02-11,13,Renegades,166
2019-02-11,14,NiP,163
2019-02-11,15,Vitality,162
2019-02-11,16,Ghost,146
2019-02-11,17,Spirit,115
2019-02-11,18,AVANGAR,114
2019-02-11,19,G2,109
2019-02-11,20,Valiance,106
2019-02-11,21,HellRaisers,101
2019-02-11,22,Grayhound,82
2019-02-11,23,FURIA,80
2019-02-11,24,3DMAX,78
2019-02-11,25,Heroic,78
2019-02-11,26,forZe,76
2019-02-11,27,Luminosity,75
2019-02-11,28,Winstrike,74
2019-02-11,29,Sprout,67
2019-02-11,30,x6tence Galaxy,67
2019-02-04,1,Astralis,1000
2019-02-04,2,Liquid,532
2019-02-04,3,Natus Vincere,382
2019-02-04,4,FaZe,277
2019-02-04,5,fnatic,247
2019-02-04,6,NRG,247
2019-02-04,7,Cloud9,205
2019-02-04,8,MIBR,187
2019-02-04,9,mousesports,181
2019-02-04,10,NiP,179
2019-02-04,11,North,162
2019-02-04,12,ENCE,157
2019-02-04,13,Renegades,146
2019-02-04,14,Vitality,145
2019-02-04,15,BIG,134
2019-02-04,16,Ghost,110
2019-02-04,17,G2,101
2019-02-04,18,HellRaisers,100
2019-02-04,19,Valiance,96
2019-02-04,20,Spirit,94
2019-02-04,21,FURIA,91
2019-02-04,22,AVANGAR,88
2019-02-04,23,forZe,83
2019-02-04,24,OpTic,74
2019-02-04,25,Sharks,71
2019-02-04,26,Windigo,70
2019-02-04,27,Winstrike,67
2019-02-04,28,LDLC,63
2019-02-04,29,TYLOO,62
2019-02-04,30,3DMAX,61
2019-01-28,1,Astralis,1000
2019-01-28,2,Liquid,505
2019-01-28,3,Natus Vincere,445
2019-01-28,4,FaZe,286
2019-01-28,5,mousesports,262
2019-01-28,6,MIBR,233
2019-01-28,7,NRG,213
2019-01-28,8,fnatic,212
2019-01-28,9,NiP,209
2019-01-28,10,Cloud9,167
2019-01-28,11,Renegades,150
2019-01-28,12,North,136
2019-01-28,13,BIG,126
2019-01-28,14,ENCE,125
2019-01-28,15,Ghost,113
2019-01-28,16,HellRaisers,99
2019-01-28,17,AVANGAR,95
2019-01-28,18,G2,91
2019-01-28,19,Vitality,89
2019-01-28,20,Spirit,68
2019-01-28,21,OpTic,66
2019-01-28,22,Sharks,65
2019-01-28,23,LDLC,63
2019-01-28,24,Valiance,60
2019-01-28,25,FURIA,58
2019-01-28,26,Windigo,53
2019-01-28,27,forZe,52
2019-01-28,28,3DMAX,50
2019-01-28,29,TYLOO,49
2019-01-28,30,Luminosity,49
2019-01-21,1,Astralis,1000
2019-01-21,2,Liquid,524
2019-01-21,3,Natus Vincere,441
2019-01-21,4,mousesports,258
2019-01-21,5,FaZe,224
2019-01-21,6,MIBR,220
2019-01-21,7,NiP,208
2019-01-21,8,fnatic,207
2019-01-21,9,NRG,202
2019-01-21,10,ENCE,143
2019-01-21,11,North,137
2019-01-21,12,Renegades,129
2019-01-21,13,BIG,124
2019-01-21,14,Cloud9,119
2019-01-21,15,Ghost,110
2019-01-21,16,HellRaisers,104
2019-01-21,17,AVANGAR,92
2019-01-21,18,G2,88
2019-01-21,19,Vitality,84
2019-01-21,20,LDLC,63
2019-01-21,21,Bravado,61
2019-01-21,22,OpTic,61
2019-01-21,23,Spirit,57
2019-01-21,24,Sharks,56
2019-01-21,25,x6tence Galaxy,55
2019-01-21,26,Heroic,54
2019-01-21,27,forZe,54
2019-01-21,28,Valiance,54
2019-01-21,29,TYLOO,49
2019-01-21,30,Windigo,46
2019-01-14,1,Astralis,1000
2019-01-14,2,Natus Vincere,457
2019-01-14,3,Liquid,399
2019-01-14,4,mousesports,274
2019-01-14,5,MIBR,250
2019-01-14,6,NiP,233
2019-01-14,7,FaZe,226
2019-01-14,8,NRG,223
2019-01-14,9,fnatic,171
2019-01-14,10,North,149
2019-01-14,11,ENCE,134
2019-01-14,12,BIG,128
2019-01-14,13,Renegades,120
2019-01-14,14,HellRaisers,104
2019-01-14,15,Cloud9,104
2019-01-14,16,G2,88
2019-01-14,17,Heroic,79
2019-01-14,18,AVANGAR,79
2019-01-14,19,OpTic,78
2019-01-14,20,Ghost,71
2019-01-14,21,Vega Squadron,63
2019-01-14,22,Bravado,59
2019-01-14,23,Vitality,59
2019-01-14,24,Sharks,57
2019-01-14,25,LDLC,56
2019-01-14,26,x6tence Galaxy,56
2019-01-14,27,TYLOO,54
2019-01-14,28,forZe,53
2019-01-14,29,Luminosity,48
2019-01-14,30,compLexity,42
2019-01-07,1,Astralis,1000
2019-01-07,2,Natus Vincere,447
2019-01-07,3,Liquid,385
2019-01-07,4,MIBR,304
2019-01-07,5,mousesports,281
2019-01-07,6,NiP,240
2019-01-07,7,FaZe,224
2019-01-07,8,NRG,219
2019-01-07,9,fnatic,172
2019-01-07,10,North,145
2019-01-07,11,BIG,134
2019-01-07,12,ENCE,122
2019-01-07,13,Renegades,114
2019-01-07,14,Cloud9,106
2019-01-07,15,HellRaisers,103
2019-01-07,16,Heroic,90
2019-01-07,17,G2,86
2019-01-07,18,AVANGAR,79
2019-01-07,19,OpTic,76
2019-01-07,20,Ghost,74
2019-01-07,21,Vitality,68
2019-01-07,22,Vega Squadron,66
2019-01-07,23,LDLC,59
2019-01-07,24,Luminosity,59
2019-01-07,25,Bravado,56
2019-01-07,26,TYLOO,54
2019-01-07,27,Sharks,53
2019-01-07,28,x6tence Galaxy,51
2019-01-07,29,forZe,46
2019-01-07,30,Windigo,46
2018-12-31,1,Astralis,1000
2018-12-31,2,Natus Vincere,438
2018-12-31,3,Liquid,400
2018-12-31,4,MIBR,297
2018-12-31,5,mousesports,288
2018-12-31,6,FaZe,243
2018-12-31,7,NiP,241
2018-12-31,8,NRG,226
2018-12-31,9,fnatic,201
2018-12-31,10,North,141
2018-12-31,11,BIG,136
2018-12-31,12,ENCE,119
2018-12-31,13,Renegades,113
2018-12-31,14,Cloud9,102
2018-12-31,15,HellRaisers,99
2018-12-31,16,Heroic,85
2018-12-31,17,LDLC,82
2018-12-31,18,G2,82
2018-12-31,19,OpTic,75
2018-12-31,20,AVANGAR,74
2018-12-31,21,Ghost,70
2018-12-31,22,Luminosity,67
2018-12-31,23,Vega Squadron,65
2018-12-31,24,Vitality,64
2018-12-31,25,Bravado,52
2018-12-31,26,TYLOO,51
2018-12-31,27,Sharks,51
2018-12-31,28,x6tence Galaxy,49
2018-12-31,29,forZe,44
2018-12-31,30,compLexity,43
2018-12-24,1,Astralis,1000
2018-12-24,2,Natus Vincere,448
2018-12-24,3,Liquid,397
2018-12-24,4,mousesports,306
2018-12-24,5,MIBR,297
2018-12-24,6,NiP,265
2018-12-24,7,NRG,257
2018-12-24,8,FaZe,240
2018-12-24,9,fnatic,167
2018-12-24,10,North,154
2018-12-24,11,BIG,136
2018-12-24,12,ENCE,123
2018-12-24,13,Renegades,121
2018-12-24,14,HellRaisers,107
2018-12-24,15,Cloud9,105
2018-12-24,16,OpTic,103
2018-12-24,17,LDLC,96
2018-12-24,18,Heroic,88
2018-12-24,19,G2,81
2018-12-24,20,AVANGAR,72
2018-12-24,21,Ghost,71
2018-12-24,22,Vitality,71
2018-12-24,23,TYLOO,70
2018-12-24,24,Luminosity,67
2018-12-24,25,Vega Squadron,64
2018-12-24,26,ex-Space Soldiers,59
2018-12-24,27,Windigo,53
2018-12-24,28,Bravado,52
2018-12-24,29,Gambit,50
2018-12-24,30,Sharks,50
2018-12-17,1,Astralis,1000
2018-12-17,2,Natus Vincere,478
2018-12-17,3,Liquid,473
2018-12-17,4,MIBR,352
2018-12-17,5,mousesports,279
2018-12-17,6,FaZe,259
2018-12-17,7,NiP,248
2018-12-17,8,NRG,245
2018-12-17,9,BIG,167
2018-12-17,10,fnatic,151
2018-12-17,11,North,145
2018-12-17,12,HellRaisers,121
2018-12-17,13,Renegades,120
2018-12-17,14,ENCE,116
2018-12-17,15,OpTic,101
2018-12-17,16,Cloud9,100
2018-12-17,17,LDLC,88
2018-12-17,18,compLexity,86
2018-12-17,19,Heroic,85
2018-12-17,20,AVANGAR,81
2018-12-17,21,G2,78
2018-12-17,22,Ghost,73
2018-12-17,23,TYLOO,68
2018-12-17,24,Vitality,64
2018-12-17,25,Vega Squadron,62
2018-12-17,26,Luminosity,60
2018-12-17,27,ex-Space Soldiers,59
2018-12-17,28,Bravado,56
2018-12-17,29,x6tence Galaxy,50
2018-12-17,30,Gambit,49
2018-12-10,1,Astralis,1000
2018-12-10,2,Liquid,520
2018-12-10,3,Natus Vincere,503
2018-12-10,4,MIBR,395
2018-12-10,5,FaZe,361
2018-12-10,6,mousesports,312
2018-12-10,7,NiP,291
2018-12-10,8,NRG,288
2018-12-10,9,BIG,205
2018-12-10,10,North,170
2018-12-10,11,fnatic,160
2018-12-10,12,HellRaisers,133
2018-12-10,13,Renegades,133
2018-12-10,14,ENCE,124
2018-12-10,15,OpTic,107
2018-12-10,16,LDLC,102
2018-12-10,17,compLexity,100
2018-12-10,18,Ghost,94
2018-12-10,19,Heroic,90
2018-12-10,20,AVANGAR,89
2018-12-10,21,Luminosity,75
2018-12-10,22,G2,73
2018-12-10,23,TYLOO,72
2018-12-10,24,ex-Space Soldiers,63
2018-12-10,25,Vega Squadron,62
2018-12-10,26,Cloud9,59
2018-12-10,27,Vitality,59
2018-12-10,28,Bravado,55
2018-12-10,29,Virtus.pro,55
2018-12-10,30,Gambit,51
2018-12-03,1,Astralis,1000
2018-12-03,2,Natus Vincere,569
2018-12-03,3,Liquid,510
2018-12-03,4,FaZe,444
2018-12-03,5,MIBR,410
2018-12-03,6,NRG,367
2018-12-03,7,NiP,354
2018-12-03,8,mousesports,305
2018-12-03,9,BIG,262
2018-12-03,10,North,226
2018-12-03,11,fnatic,197
2018-12-03,12,ENCE,192
2018-12-03,13,HellRaisers,161
2018-12-03,14,OpTic,151
2018-12-03,15,LDLC,139
2018-12-03,16,compLexity,128
2018-12-03,17,Vega Squadron,117
2018-12-03,18,Heroic,110
2018-12-03,19,Renegades,105
2018-12-03,20,TYLOO,99
2018-12-03,21,AVANGAR,96
2018-12-03,22,Luminosity,86
2018-12-03,23,Cloud9,85
2018-12-03,24,Vitality,78
2018-12-03,25,Ghost,73
2018-12-03,26,Virtus.pro,72
2018-12-03,27,Bravado,69
2018-12-03,28,G2,67
2018-12-03,29,ex-Space Soldiers,63
2018-12-03,30,x6tence Galaxy,59
2018-11-26,1,Astralis,1000
2018-11-26,2,Natus Vincere,558
2018-11-26,3,Liquid,455
2018-11-26,4,FaZe,451
2018-11-26,5,MIBR,424
2018-11-26,6,NiP,352
2018-11-26,7,mousesports,341
2018-11-26,8,NRG,306
2018-11-26,9,North,280
2018-11-26,10,BIG,221
2018-11-26,11,fnatic,183
2018-11-26,12,LDLC,158
